Date,Timestamp,Adj Close,date,Negative,Nuetral,Positive,sentiment_of_the_period,sentiment_of_the_day
2021-04-05 13:15:00,1617628500000,57984.86,2021-04-05 13:15:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 13:20:00,1617628800000,57958.63,2021-04-05 13:20:00,0.0,4.0,0.0,Nuetral,Nuetral
2021-04-05 13:25:00,1617629100000,57887.3,2021-04-05 13:25:00,1.0,10.0,0.0,Nuetral,Nuetral
2021-04-05 13:30:00,1617629400000,57961.74,2021-04-05 13:30:00,1.0,7.0,1.0,Nuetral,Nuetral
2021-04-05 13:35:00,1617629700000,57956.71,2021-04-05 13:35:00,1.0,1.0,0.0,Negative,Negative
2021-04-05 13:40:00,1617630000000,57921.47,2021-04-05 13:40:00,0.0,0.0,3.0,Positive,Positive
2021-04-05 13:45:00,1617630300000,58013.34,2021-04-05 13:45:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 13:50:00,1617630600000,58024.45,2021-04-05 13:50:00,1.0,2.0,2.0,Nuetral,Nuetral
2021-04-05 13:55:00,1617630900000,58140.55,2021-04-05 13:55:00,0.0,5.0,1.0,Nuetral,Nuetral
2021-04-05 14:00:00,1617631200000,58316.34,2021-04-05 14:00:00,0.0,1.0,2.0,Positive,Positive
2021-04-05 14:05:00,1617631500000,58250.0,2021-04-05 14:05:00,0.0,1.0,4.0,Positive,Positive
2021-04-05 14:10:00,1617631800000,58237.0,2021-04-05 14:10:00,3.0,2.0,2.0,Negative,Negative
2021-04-05 14:15:00,1617632100000,58250.0,2021-04-05 14:15:00,0.0,3.0,3.0,Nuetral,Nuetral
2021-04-05 14:20:00,1617632400000,58436.63,2021-04-05 14:20:00,1.0,4.0,3.0,Nuetral,Nuetral
2021-04-05 14:25:00,1617632700000,58664.33,2021-04-05 14:25:00,2.0,1.0,2.0,Negative,Negative
2021-04-05 14:30:00,1617633000000,58799.23,2021-04-05 14:30:00,0.0,6.0,3.0,Nuetral,Nuetral
2021-04-05 14:35:00,1617633300000,58843.09,2021-04-05 14:35:00,0.0,9.0,4.0,Nuetral,Nuetral
2021-04-05 14:40:00,1617633600000,58891.69,2021-04-05 14:40:00,0.0,4.0,2.0,Nuetral,Nuetral
2021-04-05 14:45:00,1617633900000,58846.89,2021-04-05 14:45:00,0.0,6.0,0.0,Nuetral,Nuetral
2021-04-05 14:50:00,1617634200000,58935.46,2021-04-05 14:50:00,0.0,4.0,1.0,Nuetral,Nuetral
2021-04-05 14:55:00,1617634500000,59188.7,2021-04-05 14:55:00,2.0,1.0,1.0,Negative,Negative
2021-04-05 15:00:00,1617634800000,59059.19,2021-04-05 15:00:00,1.0,6.0,1.0,Nuetral,Nuetral
2021-04-05 15:05:00,1617635100000,58995.62,2021-04-05 15:05:00,0.0,5.0,1.0,Nuetral,Nuetral
2021-04-05 15:10:00,1617635400000,59022.59,2021-04-05 15:10:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-05 15:15:00,1617635700000,59114.08,2021-04-05 15:15:00,1.0,3.0,2.0,Nuetral,Nuetral
2021-04-05 15:20:00,1617636000000,58982.19,2021-04-05 15:20:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 15:25:00,1617636300000,59009.03,2021-04-05 15:25:00,0.0,3.0,2.0,Nuetral,Nuetral
2021-04-05 15:30:00,1617636600000,59156.99,2021-04-05 15:30:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 15:35:00,1617636900000,59029.0,2021-04-05 15:35:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-05 15:40:00,1617637200000,58998.55,2021-04-05 15:40:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 15:45:00,1617637500000,58971.47,2021-04-05 15:45:00,0.0,4.0,3.0,Nuetral,Nuetral
2021-04-05 15:50:00,1617637800000,58955.9,2021-04-05 15:50:00,0.0,4.0,3.0,Nuetral,Nuetral
2021-04-05 15:55:00,1617638100000,59031.53,2021-04-05 15:55:00,0.0,5.0,1.0,Nuetral,Nuetral
2021-04-05 16:00:00,1617638400000,59088.92,2021-04-05 16:00:00,0.0,8.0,2.0,Nuetral,Nuetral
2021-04-05 16:05:00,1617638700000,59044.38,2021-04-05 16:05:00,1.0,3.0,1.0,Nuetral,Nuetral
2021-04-05 16:10:00,1617639000000,59003.78,2021-04-05 16:10:00,0.0,3.0,1.0,Nuetral,Nuetral
