date,Negative,Nuetral,Positive,sentiment_of_the_day
2022-01-11,324,1295,1484,Positive
2022-01-12,1088,3939,6088,Positive
2022-01-13,1217,4209,5308,Positive
2022-01-14,823,2725,3539,Positive
2022-01-19,114,370,415,Positive
2022-01-20,729,1993,3013,Positive
2022-01-21,1405,3635,4862,Positive
2022-01-22,2648,7554,10156,Positive
2022-02-09,826,2806,3600,Positive
2022-02-14,161,589,561,Nuetral
2022-02-15,186,1020,969,Nuetral
2022-02-16,78,357,464,Positive
2022-02-17,459,1787,2732,Positive
2022-02-18,633,1801,2149,Positive
2022-03-02,222,834,808,Nuetral
2022-03-06,239,912,859,Nuetral
2022-03-07,686,2274,2216,Nuetral
2022-03-08,119,435,432,Nuetral
2022-03-09,435,1301,1565,Positive
2022-03-10,997,3550,3686,Positive
2022-03-14,98,343,314,Nuetral
2022-03-15,840,3117,3704,Positive
2022-03-16,1073,4589,5176,Positive
2022-03-17,691,2629,2737,Positive
2022-03-18,591,2229,2521,Positive
2022-03-19,347,1319,1866,Positive
2022-03-20,360,1452,2427,Positive
2022-03-21,616,2492,3406,Positive
2022-03-22,3,10,13,Positive
2022-03-23,619,2132,2799,Positive
2022-03-24,1259,5589,6209,Positive
2022-04-13,383,1558,2325,Positive
2022-04-14,628,2447,3382,Positive
2022-04-15,1118,4115,5298,Positive
2022-04-16,1182,4016,5586,Positive
2022-04-17,266,854,1140,Positive
2022-04-18,1706,5123,7360,Positive
2022-04-19,1482,5141,7622,Positive
2022-04-20,280,1032,1329,Positive
2022-04-21,875,2875,3908,Positive
2022-04-22,1025,3422,5026,Positive
2022-04-27,96,174,223,Positive
2022-04-28,700,2296,2995,Positive
2022-04-29,730,2038,2639,Positive
2022-04-30,1361,3349,4931,Positive
2022-05-01,1605,4307,6162,Positive
2022-05-02,1249,3579,4599,Positive
2022-05-10,449,1458,1657,Positive
2022-05-11,808,2691,2336,Nuetral
2022-05-12,1883,6489,5565,Nuetral
2022-05-13,1699,5757,5412,Nuetral
2022-05-22,570,2187,3259,Positive
2022-05-23,174,581,913,Positive
2022-05-24,592,2246,2677,Positive
2022-05-25,416,1360,1713,Positive
2022-05-26,553,2205,2194,Nuetral
2022-05-27,474,1513,1613,Positive
2022-05-28,160,563,596,Positive
2022-05-29,532,1984,1945,Nuetral
2022-05-30,547,2006,1860,Nuetral
2022-05-31,487,1814,1875,Positive
2022-06-01,682,2347,2418,Positive
2022-06-02,333,1304,1350,Positive
2022-06-03,847,2955,4215,Positive
2022-06-04,185,686,849,Positive
2022-06-14,562,1651,2154,Positive
2022-06-15,2206,6459,6213,Nuetral
2022-06-17,414,1531,1855,Positive
2022-06-18,1183,3535,3323,Nuetral
2022-06-19,539,1530,1575,Positive
2022-06-23,811,2795,3277,Positive
2022-06-24,216,430,485,Positive
2022-06-25,771,2176,2757,Positive
2022-06-26,993,3059,3471,Positive
2022-06-28,228,753,794,Positive
2022-06-29,1060,3754,3539,Nuetral
2022-07-02,253,862,815,Nuetral
2022-07-03,505,1692,1553,Nuetral
2022-07-11,162,630,550,Nuetral
2022-07-12,393,1500,1546,Positive
2022-07-13,1195,3508,3806,Positive
2022-07-14,1157,4061,4476,Positive
2022-07-15,990,3593,3572,Nuetral
2022-07-16,850,3314,3135,Nuetral
2022-07-17,481,1493,1426,Nuetral
2022-08-30,510,1253,1584,Positive
2022-08-31,727,2486,3303,Positive
2022-09-01,712,2417,3319,Positive
2022-09-02,838,2586,3384,Positive
2022-09-03,470,1266,1410,Positive
2022-09-04,142,507,543,Positive
2022-09-11,239,882,1031,Positive
2022-09-12,752,2560,3514,Positive
2022-09-13,983,3016,3240,Positive
2022-09-14,1030,3379,3564,Positive
2022-10-09,254,1017,1212,Positive
2022-10-10,819,2717,3019,Positive
2022-10-11,710,2752,3492,Positive
2022-10-12,790,3017,3363,Positive
2022-10-13,530,1994,1907,Nuetral
2022-10-14,399,1475,1526,Positive
2022-10-15,546,2316,2271,Nuetral
2022-11-07,625,1858,2565,Positive
2022-11-08,536,1539,1399,Nuetral
2022-11-09,1096,3321,3035,Nuetral
2022-11-10,496,1563,1975,Positive
2022-11-11,815,2218,2154,Nuetral
2022-11-13,267,745,827,Positive
2022-11-14,504,1464,2181,Positive
2022-11-15,1304,4190,4321,Positive
2022-11-16,1303,4218,4027,Nuetral
2022-11-20,205,650,628,Nuetral
2022-11-21,826,2934,2693,Nuetral
2022-12-24,228,622,710,Positive
2022-12-25,389,1496,1603,Positive
2022-12-26,15,59,63,Positive
2022-12-27,531,1962,2239,Positive
